cid,pid,target.X,target.Y,target.Z
85,3,0,2.49,1.5
86,3,1,2.49,3.5
87,3,1,2.49,3.5
88,3,1,2.49,3.5
89,3,0,0.49,3.5
90,3,1,0.49,3.5
91,3,0,2.49,2.5
92,3,1,0.49,1.5
93,3,1,2.49,2.5
94,3,-1,1.49,1.5
95,3,1,2.49,2.5
96,3,0,1.49,2.5
97,3,-1,2.49,1.5
98,3,1,1.49,1.5
99,3,-1,0.49,1.5
100,3,-1,0.49,1.5
101,3,0,1.49,2.5
102,3,1,2.49,3.5
103,3,1,1.49,2.5
104,3,-1,1.49,1.5
105,3,0,0.49,2.5
106,3,-1,1.49,3.5
107,3,0,0.49,2.5
108,3,-1,2.49,3.5
109,3,0,0.49,3.5
110,3,-1,0.49,1.5
111,3,1,1.49,1.5
112,3,1,2.49,1.5
113,3,-1,2.49,3.5
114,3,0,1.49,3.5
115,3,1,1.49,2.5
116,3,0,2.49,3.5
117,3,-1,0.49,2.5
118,3,1,2.49,1.5
119,3,-1,2.49,1.5
120,3,-1,2.49,2.5
121,3,0,2.49,3.5
122,3,0,1.49,1.5
123,3,-1,0.49,2.5
124,3,0,1.49,3.5
125,3,0,2.49,3.5
126,3,-1,0.49,3.5
127,3,-1,1.49,2.5
128,3,0,1.49,2.5
129,3,1,1.49,2.5
130,3,-1,2.49,1.5
131,3,0,2.49,1.5
132,3,0,2.49,1.5
133,3,1,1.49,2.5
134,3,0,2.49,2.5
0,4,-1,1.49,2.5
1,4,-1,1.49,1.5
2,4,0,1.49,1.5
3,4,1,0.49,1.5
4,4,-1,1.49,2.5
5,4,1,0.49,3.5
6,4,-1,2.49,3.5
7,4,1,1.49,2.5
8,4,0,0.49,2.5
9,4,-1,1.49,1.5
10,4,0,0.49,3.5
11,4,1,1.49,1.5
12,4,-1,0.49,1.5
13,4,-1,2.49,3.5
14,4,0,2.49,1.5
15,4,0,2.49,3.5
16,4,1,2.49,1.5
17,4,1,0.49,3.5
18,4,-1,0.49,1.5
19,4,1,0.49,1.5
20,4,1,2.49,1.5
21,4,-1,0.49,3.5
22,4,-1,1.49,2.5
23,4,0,0.49,2.5
24,4,1,2.49,3.5
25,4,-1,2.49,3.5
26,4,-1,2.49,1.5
27,4,0,1.49,1.5
28,4,1,1.49,1.5
29,4,-1,1.49,3.5
30,4,1,2.49,3.5
31,4,1,0.49,3.5
32,4,1,1.49,1.5
33,4,1,1.49,2.5
34,4,0,0.49,3.5
35,4,1,0.49,1.5
