pid,cid,time,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
13,26,0.910600,-0.041073,1.312787,0.701018,-0.001693,1.323564,0.501931,0.043032,1.338304,0.364178,0.083270,1.346145,0.178869,0.043013,1.369203,-0.042987,-0.038049,1.599737,-0.009057,-0.138055,1.347270,-0.147111,0.085812,0.703419,0.131972,-0.487422,0.564060,0.473820,-0.103901,0.098286,0.115781,0.106989,-0.107945,-0.333771,0.033076,0.389211,-0.133176,-0.152054,-0.019498,-0.037526,0.114689,0.503854,0.121434
13,27,0.965900,0.258009,1.320121,0.684907,0.231918,1.329919,0.482897,0.217054,1.344712,0.338026,0.182693,1.348903,0.152808,0.056968,1.364048,-0.043759,-0.006560,1.600167,0.003028,-0.137337,1.345396,-0.121447,0.130297,0.581217,0.130690,-0.359396,0.663468,0.527532,-0.057717,-0.075052,0.157164,0.036208,0.078671,-0.335926,0.069826,0.252821,-0.109964,-0.148851,-0.158677,-0.017721,0.112236,0.444475,0.112137
13,28,1.088500,-0.040119,1.861090,0.540787,0.004692,1.738944,0.384683,0.041828,1.653833,0.263424,0.075885,1.532740,0.117331,0.024242,1.382814,-0.048797,-0.055887,1.633126,-0.050987,-0.147129,1.337597,-0.150536,0.345248,0.714208,-0.135279,-0.583052,0.709141,0.237972,0.265386,0.110587,0.067952,-0.234157,-0.204014,-0.246028,0.154519,0.269959,-0.159335,0.043747,-0.037255,-0.045739,0.124415,0.543849,0.076666
13,29,1.176700,-0.345701,1.923602,0.396734,-0.228111,1.779695,0.315490,-0.135679,1.682709,0.240638,-0.038973,1.549965,0.140997,-0.015777,1.390526,-0.017822,-0.083409,1.641595,-0.040928,-0.141179,1.341891,-0.167161,0.428685,0.845250,-0.063543,-0.634587,0.599718,-0.011566,0.297563,0.364151,0.126766,-0.195766,-0.414786,-0.285119,0.170155,0.423053,-0.143989,0.064797,0.192709,-0.003707,0.116431,0.673789,0.109487
13,30,1.322000,-0.029833,1.307449,0.713519,0.014951,1.328394,0.515962,0.049998,1.349934,0.374581,0.084291,1.360518,0.187879,0.042951,1.369710,-0.033716,-0.030323,1.598942,0.001375,-0.138567,1.344846,-0.128145,0.113190,0.705762,0.165353,-0.416744,0.583670,0.469510,-0.116160,0.069527,0.137182,0.101455,-0.124658,-0.313985,0.037064,0.383819,-0.134422,-0.147496,-0.057655,-0.032579,0.123061,0.471642,0.113798
13,31,1.066600,-0.051590,1.955344,0.449245,-0.019408,1.805428,0.320260,0.019068,1.703558,0.212161,0.057539,1.564056,0.085058,0.006645,1.387530,-0.054791,-0.071759,1.636636,-0.048177,-0.166911,1.335225,-0.142981,0.434414,0.665766,-0.192544,-0.609017,0.727237,0.181053,0.340352,0.108461,0.024285,-0.295606,-0.211655,-0.187462,0.162005,0.229060,-0.179185,0.066205,-0.044635,-0.038276,0.120534,0.525700,0.070997
13,32,1.122000,0.153597,1.401957,0.702017,0.148998,1.396989,0.496526,0.141698,1.401474,0.349805,0.125606,1.388328,0.160249,0.026953,1.368553,-0.043536,-0.046052,1.594298,0.008768,-0.170235,1.340446,-0.108278,0.115177,0.639931,0.065715,-0.419595,0.654106,0.506286,-0.036761,-0.054820,0.106455,0.009659,-0.016351,-0.277563,0.061065,0.258089,-0.144590,-0.175208,-0.145961,-0.039320,0.129833,0.415115,0.093831
13,33,0.932900,-0.023751,1.609038,0.673850,0.012444,1.551449,0.481850,0.046758,1.518493,0.339479,0.083913,1.457940,0.162252,0.040021,1.375393,-0.042532,-0.031852,1.608493,-0.018309,-0.136722,1.343359,-0.139836,0.224969,0.712866,0.012382,-0.531470,0.651359,0.373575,0.080746,0.086651,0.063297,-0.079306,-0.181729,-0.241684,0.099172,0.308242,-0.147071,-0.096865,-0.050951,-0.030486,0.119834,0.509601,0.096314
13,34,1.165600,0.138248,1.821255,0.561479,0.150444,1.699837,0.398384,0.154795,1.623423,0.267609,0.146263,1.513385,0.110687,0.044252,1.378509,-0.049299,-0.029340,1.627701,-0.031514,-0.146009,1.340075,-0.127029,0.349477,0.663225,-0.141918,-0.529094,0.756968,0.278137,0.241907,-0.004055,0.071307,-0.234944,-0.064489,-0.230365,0.143982,0.166577,-0.148164,0.004750,-0.139706,-0.045083,0.128245,0.485009,0.078778
13,35,1.098300,0.137805,1.818560,0.571990,0.133965,1.705656,0.401184,0.134630,1.631294,0.268882,0.126960,1.521512,0.110873,0.033615,1.380727,-0.055895,-0.032964,1.629369,-0.031318,-0.150334,1.343784,-0.130836,0.350568,0.638148,-0.078871,-0.511809,0.767963,0.286834,0.236710,-0.012036,0.070107,-0.234953,-0.085264,-0.212470,0.127969,0.182431,-0.148062,-0.021781,-0.148805,-0.052687,0.121581,0.474185,0.089074
13,36,1.021100,-0.318488,1.319469,0.630937,-0.217409,1.319664,0.456213,-0.128567,1.341907,0.344474,-0.019632,1.354093,0.188912,0.013803,1.373469,-0.019694,-0.072150,1.601952,-0.005732,-0.142248,1.339651,-0.147618,0.116997,0.811666,0.113403,-0.563232,0.483214,0.382990,-0.131083,0.280155,0.043880,0.164839,-0.296571,-0.261515,0.066989,0.488052,-0.170463,-0.109767,0.085862,-0.044543,0.119520,0.558918,0.108016
13,37,0.877300,-0.035299,1.607090,0.634647,0.016632,1.531674,0.454362,0.058724,1.499519,0.315747,0.099584,1.441684,0.138555,0.038851,1.373111,-0.062400,-0.036914,1.600199,-0.015104,-0.147748,1.337670,-0.126383,0.262801,0.741564,-0.034872,-0.544577,0.656390,0.329265,0.086841,0.111355,0.037399,-0.062718,-0.140870,-0.242060,0.089377,0.263583,-0.152020,-0.109295,-0.086118,-0.035488,0.134644,0.416277,0.080653
13,38,1.168500,-0.405754,1.206258,0.517408,-0.257079,1.243562,0.387272,-0.155352,1.287215,0.288063,-0.031787,1.322557,0.148598,0.012668,1.366237,-0.043708,-0.081265,1.589536,-0.027003,-0.130078,1.342156,-0.177270,0.043479,0.874956,0.220593,-0.518512,0.343205,0.368284,-0.202615,0.327220,0.045466,0.238677,-0.319555,-0.271049,0.146759,0.531315,-0.106676,-0.150785,0.159105,-0.067902,0.119464,0.554721,0.126466
13,39,1.066400,-0.039239,1.140899,0.643656,-0.004967,1.201159,0.454330,0.032114,1.254733,0.323900,0.073599,1.305576,0.146065,0.030946,1.365220,-0.047495,-0.045211,1.591491,0.001401,-0.158446,1.343007,-0.126356,0.015615,0.683331,0.184469,-0.429608,0.481669,0.565242,-0.225301,0.073704,0.074511,0.210961,-0.109329,-0.295908,0.093313,0.352549,-0.125005,-0.156707,-0.080108,-0.040737,0.127068,0.438072,0.101402
13,40,1.055000,-0.044998,1.957773,0.458415,-0.005510,1.808019,0.325928,0.031107,1.705419,0.218166,0.066528,1.562377,0.093527,0.010098,1.384066,-0.042450,-0.068274,1.643001,-0.039770,-0.166018,1.335812,-0.124223,0.424669,0.695875,-0.154467,-0.602728,0.730847,0.159728,0.350061,0.107204,0.031853,-0.307116,-0.203322,-0.191307,0.166607,0.222169,-0.175370,0.116416,-0.064297,-0.045875,0.121020,0.496558,0.071138
13,41,1.077400,-0.039613,1.609923,0.664885,0.009532,1.546609,0.475744,0.043923,1.513837,0.335022,0.080112,1.453285,0.156961,0.030760,1.373387,-0.054457,-0.050008,1.604220,-0.023908,-0.147967,1.337305,-0.144161,0.206086,0.737647,-0.000776,-0.559254,0.653038,0.339408,0.082011,0.084432,0.050125,-0.079435,-0.163090,-0.239656,0.100991,0.321980,-0.148509,-0.114767,-0.046199,-0.049481,0.128718,0.478677,0.090944
13,42,1.077100,-0.053113,1.614770,0.662467,-0.000248,1.561735,0.471298,0.032875,1.526528,0.328072,0.069553,1.461340,0.152005,0.019627,1.374227,-0.049146,-0.058034,1.611919,-0.028262,-0.160583,1.339561,-0.136785,0.212773,0.744120,0.036612,-0.530670,0.648141,0.352420,0.100613,0.085507,0.064419,-0.089720,-0.175391,-0.222149,0.111467,0.282965,-0.150022,-0.079424,-0.046819,-0.040151,0.134897,0.487118,0.086583
13,43,0.932900,0.246383,1.335111,0.670069,0.219521,1.344231,0.466620,0.199635,1.360537,0.321826,0.161830,1.365464,0.136308,0.040522,1.365223,-0.059876,-0.026059,1.602766,-0.008361,-0.157587,1.341941,-0.115471,0.139830,0.589083,0.141616,-0.354598,0.676652,0.526721,-0.074180,-0.107529,0.089484,0.031159,0.048880,-0.289174,0.070602,0.228901,-0.132136,-0.101979,-0.178274,-0.042534,0.122872,0.384332,0.095782
13,44,1.133200,-0.035844,1.873745,0.541398,0.016423,1.746660,0.390216,0.050172,1.662073,0.267282,0.082539,1.539553,0.121988,0.025126,1.384934,-0.037269,-0.048965,1.633333,-0.035640,-0.153370,1.340065,-0.126400,0.369145,0.734553,-0.104359,-0.586202,0.713020,0.198574,0.277985,0.094466,0.036141,-0.245465,-0.180779,-0.190034,0.147463,0.222582,-0.171400,0.030558,-0.051776,-0.022071,0.119884,0.518696,0.074213
13,45,1.066500,0.376531,1.600748,0.579773,0.314023,1.542685,0.394014,0.262038,1.512900,0.255889,0.195253,1.453834,0.087749,0.046624,1.369916,-0.074721,-0.004594,1.611140,-0.021659,-0.153377,1.338359,-0.103657,0.299001,0.526821,0.007620,-0.346299,0.786586,0.438371,0.112087,-0.176296,0.127059,-0.138740,0.084299,-0.227011,0.083958,0.128950,-0.158149,-0.084709,-0.274897,-0.004486,0.123748,0.331829,0.075110
13,46,1.077200,-0.227639,1.807449,0.556709,-0.123742,1.695837,0.418419,-0.060952,1.626849,0.297776,0.008446,1.522426,0.152122,0.009923,1.382669,-0.032448,-0.065784,1.619004,-0.027655,-0.134111,1.335354,-0.167282,0.323487,0.833164,0.019699,-0.587038,0.638522,0.113203,0.202801,0.209393,0.099261,-0.169023,-0.315378,-0.217996,0.161525,0.403036,-0.161077,-0.045894,0.075720,-0.036608,0.116543,0.629915,0.082112
13,47,1.043100,0.258122,1.320688,0.683600,0.236816,1.339375,0.481125,0.216801,1.359119,0.334743,0.181153,1.364545,0.148912,0.058612,1.364012,-0.049208,0.005288,1.589398,0.016399,-0.137706,1.343124,-0.113855,0.143672,0.594380,0.170490,-0.332884,0.662103,0.534175,-0.073783,-0.105889,0.101924,0.040620,0.045948,-0.265811,0.070572,0.244717,-0.119546,-0.162097,-0.185713,-0.028853,0.129504,0.408659,0.111272
13,48,1.189100,-0.332846,1.920658,0.404052,-0.216925,1.779871,0.311159,-0.127773,1.688437,0.228323,-0.026786,1.557397,0.128748,0.004012,1.392910,-0.031570,-0.070528,1.639103,-0.049567,-0.118270,1.340855,-0.183855,0.405653,0.845570,-0.056602,-0.646563,0.607731,0.017363,0.309905,0.332542,0.062771,-0.222843,-0.415813,-0.215452,0.153431,0.449664,-0.169973,0.053277,0.212673,-0.012146,0.105863,0.701471,0.105945
