calid,pid,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
1,4,0.248821,1.356102,-0.560428,0.595346,1.380647,-0.510108,0.448604,1.364052,-0.514013,0.254853,1.361930,-0.481678,0.066640,1.326222,-0.412327,-0.056720,1.520735,-0.303820,-0.173108,1.278665,-0.372624,0.094031,-0.803865,0.283496,0.159075,0.760995,0.611515,0.218550,-0.687182,0.228001,-0.129508,0.667059,-0.172122,-0.064093,0.236455,0.038880,0.095698,-0.003242,0.025514,0.067032,0.177703,0.056871
2,4,0.074062,1.406328,0.241671,0.094996,1.375355,0.066258,0.130022,1.364733,-0.075251,0.133895,1.349228,-0.276571,0.101044,1.394224,-0.113960,-0.036400,1.523115,-0.327341,-0.154035,1.280478,-0.385007,-0.135074,-0.675550,0.124245,-0.521564,0.534098,0.564607,-0.017068,0.051411,0.141343,0.044917,-0.030118,-0.216391,0.404549,-0.121922,0.343926,0.080160,-0.001065,0.031121,0.088730,0.181932,0.076026
0,5,0.255495,0.627992,-0.412911,0.261824,0.818523,-0.444019,0.258358,0.939805,-0.460811,0.223838,1.173912,-0.496191,0.132198,1.350747,-0.472635,0.009888,1.631510,-0.367008,-0.118491,1.363513,-0.472266,0.396875,-0.468505,-0.475598,-0.029319,-0.164013,-0.787560,0.636895,0.207938,-0.173768,0.590051,0.252727,-0.314069,-0.107332,0.110549,-0.024956,-0.131683,-0.068357,0.011829,0.155079,0.242503,0.069393
1,5,0.906894,1.569375,-0.535569,0.715775,1.548865,-0.521464,0.586485,1.530959,-0.527814,0.350012,1.483113,-0.527788,0.126837,1.376299,-0.470032,0.001460,1.633375,-0.345488,-0.127122,1.360242,-0.445487,0.053990,0.101659,0.126942,-0.122830,-0.656021,-0.720478,-0.093328,0.705188,-0.052237,-0.091013,0.621441,0.005766,-0.081742,0.274566,0.020199,-0.128151,-0.089130,0.010598,0.148159,0.245195,0.055307
2,5,0.135903,1.536991,0.279021,0.143511,1.501798,0.090022,0.158312,1.490652,-0.037236,0.171799,1.453833,-0.277282,0.096178,1.380675,-0.445649,0.000716,1.628880,-0.356662,-0.129690,1.363226,-0.474721,-0.084518,-0.658948,0.171435,0.488207,-0.581480,-0.556178,-0.011314,-0.020431,-0.025142,-0.033368,-0.097872,-0.064608,0.019811,-0.003487,0.073101,-0.137094,-0.055367,0.020028,0.142085,0.302248,0.077233
0,6,0.258364,0.672157,-0.391909,0.249113,0.883080,-0.397066,0.237772,1.006781,-0.409481,0.216081,1.285598,-0.430472,0.094157,1.499090,-0.405423,-0.011274,1.679100,-0.244019,-0.151192,1.512244,-0.389225,0.421157,-0.311743,-0.575846,-0.079690,-0.215282,-0.823621,0.693983,0.128415,-0.126738,-0.657607,-0.212703,0.238838,-0.162693,0.081236,-0.018586,0.391716,0.043697,0.015184,-0.194074,-0.143952,-0.024219
1,6,0.991192,1.591807,-0.515090,0.782099,1.585177,-0.498581,0.654165,1.580763,-0.498434,0.372056,1.574844,-0.494486,0.107393,1.543190,-0.438368,-0.012705,1.703900,-0.267984,-0.145704,1.511470,-0.402949,-0.115763,0.121795,0.006999,-0.056443,-0.710467,-0.665977,0.030529,0.687643,-0.032886,-0.062537,-0.649894,-0.008275,-0.146150,0.048012,0.080847,0.329776,0.043045,0.037553,-0.196456,-0.137126,-0.003566
2,6,-0.009835,1.650222,0.385192,0.012021,1.624949,0.179627,0.036016,1.609886,0.053446,0.087174,1.582496,-0.225438,0.038048,1.547369,-0.408907,-0.037681,1.734826,-0.306658,-0.171423,1.511369,-0.435895,-0.094176,-0.683933,0.021201,0.530424,-0.604398,-0.473239,0.020109,-0.089741,0.028374,0.013169,0.182793,0.008376,-0.063983,-0.233549,0.075865,0.237324,0.031436,0.018084,-0.205049,-0.199468,-0.016163
0,7,0.201760,0.613850,-0.368767,0.214577,0.820544,-0.373769,0.218609,0.966838,-0.386679,0.215240,1.228654,-0.430138,0.101480,1.442945,-0.444044,-0.010740,1.602673,-0.290517,-0.133720,1.432713,-0.457849,0.490668,-0.503403,-0.455508,-0.075980,0.031672,0.806781,0.699899,0.028340,-0.026444,0.593150,0.233311,-0.355885,0.276647,0.076966,0.093714,0.275829,0.051736,-0.019517,-0.257455,-0.305722,-0.164771
1,7,0.564969,1.611718,-0.470898,0.699775,1.570194,-0.468239,0.549513,1.568366,-0.484464,0.290437,1.534102,-0.510298,0.059249,1.496418,-0.472066,-0.039091,1.656642,-0.329590,-0.166107,1.431483,-0.424101,0.876597,0.053832,0.409574,0.020164,0.636028,0.761311,0.055196,0.685241,0.015909,-0.145738,0.595089,-0.077710,0.303582,0.001722,-0.072305,0.088559,0.095755,-0.015720,-0.259979,-0.240835,-0.089871
